"Longitude","Latitude","Mmodesta","barrier","Bbsuit","Bfsuit","Brsuit","BbBfBrsuit","bio1","bio12"
-89.0520806,16.6085278,1,1,0.111299999,0.119764,0.043698002,0.119764,232,2122
-89.0434167,16.1979222,1,1,0.0618896,0.00249902,0.00358343,0.0618896,249,3049
-89.0272361,16.2964222,1,1,0.095112897,0.0107631,0.00815836,0.095112897,241,2766
-88.9759667,17.0777667,1,1,0.076222703,0.162928998,0.047029201,0.162928998,239,1583
-88.9396278,16.1566833,1,1,0.067477398,0.00160283,0.00400133,0.067477398,248,3412
-88.8178556,16.9595111,1,1,0.052699901,0.058453199,0.051839199,0.058453199,224,2285
-88.7534167,16.4186222,1,1,0.095175304,0.033311401,0.0154015,0.095175304,254,2555
-88.7442778,16.4440083,1,1,0.091891997,0.034897599,0.016972,0.091891997,256,2576
-88.7059583,16.5439639,1,1,0.103809997,0.065413103,0.022736499,0.103809997,255,2347
-77.3688889,3.9394444,1,1,0.257093996,0.00213834,0.491948009,0.491948009,258,7369
-76.6580444,5.532864,1,1,0.529232025,0.00683847,0.751721025,0.751721025,267,7510
-76.9133,3.6186111,1,1,0.577965021,0.323475003,0.486837,0.577965021,244,2626
-76.9743389,3.9965139,1,1,0.379655987,0.00483258,0.605863988,0.605863988,261,7084
-85.5908028,11.005825,1,1,0.155607,0.065073296,0.000567473,0.155607,253,1902
-85.5411,10.9832,1,1,0.195472002,0.086963899,0.00218261,0.195472002,242,2029
-85.4739056,10.9964667,1,1,0.27452001,0.074357197,0.038661599,0.27452001,217,2725
-85.432,10.9933,1,1,0.274937987,0.072084799,0.044240899,0.274937987,217,2819
-85.4295,10.9926,1,1,0.274937987,0.072084799,0.044240899,0.274937987,217,2819
-85.4272,10.9904,1,1,0.274937987,0.072084799,0.044240899,0.274937987,217,2819
-85.2424139,10.863575,1,1,0.248657003,0.115070999,0.016047999,0.248657003,246,2344
-85.1204932,10.4535349,1,1,0.131764993,0.141870007,0.000270065,0.141870007,268,1667
-85.0179722,10.9088861,1,1,0.303570002,0.275651008,0.069444701,0.303570002,265,1991
-85.0116139,10.6687167,1,1,0.316309988,0.0722574,0.243385002,0.316309988,197,3705
-84.7194444,10.3083333,1,1,0.304172009,0.068256997,0.093969502,0.304172009,207,3142
-84.40315,10.5942263,1,1,0.308566004,0.098395601,0.153815001,0.308566004,258,3033
-84.1292389,10.4142583,1,1,0.357367009,0.085259601,0.459693998,0.459693998,254,3966
-84.0502,10.4013,1,1,0.344976008,0.0792128,0.516287982,0.516287982,255,4132
-84.0493,10.4013,1,1,0.344976008,0.0792128,0.516287982,0.516287982,255,4132
-84.0451944,10.2814778,1,1,0.410739005,0.065677002,0.320239007,0.410739005,217,3860
-84.0412,10.2964,1,1,0.381440014,0.066652097,0.528689027,0.528689027,244,4329
-84.0145386,10.2695721,1,1,0.410174996,0.081937097,0.496897012,0.496897012,237,4120
-84.0049667,10.4308083,1,1,0.343015999,0.079283297,0.495938987,0.495938987,260,3974
-83.9519,10.1489,1,1,0.441606998,0.183220997,0.393747002,0.441606998,231,3341
-83.9498667,10.3335,1,1,0.342177004,0.069519699,0.511637986,0.511637986,260,4081
-83.8542722,9.7962194,1,1,0.401966006,0.252173007,0.118519001,0.401966006,202,2280
-83.8022139,9.8256361,1,1,0.430799991,0.243812993,0.211464003,0.430799991,198,2606
-83.7873722,10.2177472,1,1,0.309244007,0.064534798,0.490314007,0.490314007,253,4180
-83.7389194,9.8981667,1,1,0.497249007,0.300305009,0.522271991,0.522271991,203,2931
-83.5913,8.48017,1,1,0.116230004,0.00141167,0.032952599,0.116230004,262,4457
-83.5819306,9.8396139,1,1,0.433966994,0.291079015,0.419019997,0.433966994,211,2889
-83.5300832,10.073984,1,1,0.372424006,0.083558798,0.546074986,0.546074986,241,3986
-83.5292,10.5848,1,1,0.195531994,0.00812528,0.325075001,0.325075001,263,5031
-83.4592,9.81836,1,1,0.409029007,0.254563004,0.354965001,0.409029007,212,2773
-83.453425,9.9465861,1,1,0.446258992,0.207229003,0.547528028,0.547528028,227,3261
